Result,Keyword,Screening,Citation,Author,Year,Title,Journal,Vol,Nr,Pages
"Water Practice & Technology 001:04 (2006) - I. Baudin, O. Cagnard, J.J. Grandguillaume, Z. Do-Quang - Algae and associated toxins & metabolites: methodology for risk assessment and risk management",Customer,Selected,Baudin et al. 2006,I. Baudin and O. Cagnard and J.J. Grandguillaume and Z. Do-Quang,2006,Algae and associated toxins & metabolites: methodology for risk assessment and risk management,Water Practice & Technology,1,4,
Water Supply 3:1-2 (2003) 43-50 - R. Baur et al. - Multi-criteria decision support for annual rehabilitation programmes in drinking water networks,Customer,Selected,Baur 2003,Baur,2003,Multi-criteria decision support for annual rehabilitation programmes in drinking water networks,Water Supply,3,1-2,43-50
"Michael Berney, Marius Vital, Iris Hülshoff, Hans-Ulrich Weilenmann, Thomas Egli, Frederik Hammes, Rapid, cultivation-independent assessment of microbial viability in drinking water, Water Research, Volume 42, Issue 14, August 2008, Pages 4010-4018, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.07.017.",Consumer,Selected,Berney et al. 2008,Michael Berney and Marius Vital and Iris Hülshoff and Hans-Ulrich Weilenmann and Thomas Egli and Frederik Hammes,2008,"Rapid, cultivation-independent assessment of microbial viability in drinking water",Water Research,42,14,4010-4018
"Marie-Claude Besner, Michèle Prévost, Stig Regli, Assessing the public health risk of microbial intrusion events in distribution systems: Conceptual model, available data, and challenges, Water Research, Volume 45, Issue 3, January 2011, Pages 961-979, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2010.10.035.",Customer,Selected,Besner et al. 2011,Marie-Claude Besner and Michèle Prévost and Stig Regli,2011,"Assessing the public health risk of microbial intrusion events in distribution systems: Conceptual model, available data, and challenges",Water Research,45,3,961-979
"Françoise Bichai, Patrick W.M.H. Smeets, Using QMRA-based regulation as a water quality management tool in the water security challenge: Experience from the Netherlands and Australia, Water Research, Volume 47, Issue 20, 15 December 2013, Pages 7315-7326, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.09.062.",Consumer,Selected,Bichai and Smeets 2013,Françoise Bichai and Patrick W.M.H. Smeets,2013,Using QMRA-based regulation as a water quality management tool in the water security challenge: Experience from the Netherlands and Australia,Water Research,47,20,7315-7326
Journal of Hydroinformatics 13:4 (2011) 596-608 - Josef Bicik et al. - Pipe burst diagnostics using evidence theory,Customer,Selected,Bicik 2011,Bicik,2011,Pipe burst diagnostics using evidence theory,Journal of Hydroinformatics,13,4,596-608
Journal of Water and Health 6:S1 (2008) s43-s51 - Veronica Blette - Drinking water public right-to-know requirements in the United States,Consumer,Selected,Blette 2008,Veronica Blette,2008,Drinking water public right-to-know requirements in the United States,Journal of Water and Health,6,S1,s43-s51
J Water SRT - Aqua 55 (2006) 207-219 - J. B. Boxall and R. A. Prince - Modelling discolouration in a Melbourne (Australia) potable water distribution system,Customer,Selected,Boxall and Prince 2006,J. B. Boxall and R. A. Prince,2006,Modelling discolouration in a Melbourne (Australia) potable water distribution system,"Journal of Water Supply, Research and Technology---Aqua",55,,207-219
Water Supply 3:1-2 (2003) 179-186 - J.B. Boxall et al. - Aggressive flushing for discolouration event mitigation in water distribution networks,Customer,Selected,Boxall et al. 2003,J. B. Boxall,2003,Aggressive flushing for discolouration event mitigation in water distribution networks,Water Supply,3,1-2,179-186
Water Quality Research Journal of Canada 48:1 (2013) 76-84 - Roland Alexander Bradshaw et al. - Introducing layer of protection analysis for water safety risk assessments,Customer,Selected,Bradshaw et al. 2013,Roland Alexander Bradshaw,2013,Introducing layer of protection analysis for water safety risk assessments,Water Quality Research Journal of Canada,48,1,76-84
J Water SRT - Aqua 48 (1999) 39-43 - R. A. Breach - Overview of residual disinfection practice by European water suppliers,Customer,Selected,Breach 1999,R. A. Breach,1999,Overview of residual disinfection practice by European water suppliers,"Journal of Water Supply, Research and Technology---Aqua",48,,39-43
"Journal of Water and Health 9:3 (2011) 569-576 - A. Breitenmoser et al. - Outbreak of acute gastroenteritis due to a washwater-contaminated water supply, Switzerland, 2008",Consumer,Selected,Breitenmoser et al. 2011,A. Breitenmoser,2011,"Outbreak of acute gastroenteritis due to a washwater-contaminated water supply, Switzerland, 2008",Journal of Water and Health,9,3,569-576
"William H. Bruvold, Mineral taste and the potability of domestic water, Water Research, Volume 4, Issue 5, May 1970, Pages 331-340, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(70)90074-6.",Consumer,Selected,Bruvold 1970,William H. Bruvold,1970,Mineral taste and the potability of domestic water,Water Research,4,5,331-340
Water Supply 5:3-4 (2005) 295-301 - J.S. Buckle - Social interaction in water demand management implementation,Customer,Selected,Buckle 2005,J.S. Buckle,2005,Social interaction in water demand management implementation,Water Supply,5,3-4,295-301
"Water Science & Technology 24:9 (1991) 31-43 - M. D. Burgess - Planning for Reuse. Developing a Strategy for the Northern Territory, Australia",Marketing,Selected,Burgess 1991,M. D. Burgess,1991,"Planning for Reuse. Developing a Strategy for the Northern Territory, Australia",Water Science & Technology,24,9,295-301
Water Science & Technology 55:5 (2007) 257-263 - G.A. Burlingame and E.D. Mackey - Philadelphia obtains useful information from its customers about taste and odour quality,Customer,Selected,Burlingame and Mackey 2007,G.A. Burlingame and E.D. Mackey,2007,Philadelphia obtains useful information from its customers about taste and odour quality,Water Science & Technology,55,5,257-263
Water Supply 3:1-2 (2003) 55-62 - S. Burn et al. - Asset planning for water reticulation systems - the PARMS model,Customer,Selected,Burn et al. 2003,S. Burn,2003,Asset planning for water reticulation systems - the PARMS model,Water Supply,3,1-2,55-62
Journal of Water Supply: Research and Technology-AQUA 59:6-7 (2010) 362-377 - S. Burn et al. - Modelling asset lifetimes and their role in asset management,Customer,Selected,Burn et al. 2010,S. Burn,2010,Modelling asset lifetimes and their role in asset management,"Journal of Water Supply, Research and Technology---Aqua",59,6-7,362-377
Water Supply 2:3 (2002) 251-257 - C. Campos and Ph. Harmant - Assessing the impact of dissolved organic carbon changes on disinfectant stability in a distribution system,Customer,Selected,Campos and Harmant 2002,C. Campos and Ph. Harmant,2002,Assessing the impact of dissolved organic carbon changes on disinfectant stability in a distribution system,Water Supply,2,3,251-257
Water Supply 18:1 (2000) 497-499 - Llus Martinez Camps - Marketing water as a product serving customers,Customer,Selected,Camps 2000,Llus Martinez Camps,2000,Marketing water as a product serving customers,Water Supply,18,1,497-499
Water Supply 18:1 (2000) 497-499 - Llus Martinez Camps - Marketing water as a product serving customers,Marketing,Selected,Camps 2000,Llus Martinez Camps,2000,Marketing water as a product serving customers,Water Supply,18,1,497-499
"P.T. Cardew, Simulation of lead compliance data, Water Research, Volume 34, Issue 8, June 2000, Pages 2241-2252, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(99)00411-X.",Customer,Selected,Cardew 2000,P.T. Cardew,2000,Simulation of lead compliance data,Water Research,34,8,2241-2252
Water Science & Technology 47:6 (2003) 97-102 - G. Carpenter - Making markets work for clean water,Consumer,Selected,Carpenter 2003,G. Carpenter,2003,Making markets work for clean water,Water Science & Technology,47,6,97-102
Water Science & Technology 64:2 (2011) 448-459 - G. Cembrano et al. - PLIO: a generic tool for real-time operational predictive optimal control of water networks,Consumer,Selected,Cembrano et al. 2011,G. Cembrano,2011,PLIO: a generic tool for real-time operational predictive optimal control of water networks,Water Science & Technology,64,2,448-459
"Sarah C.B. Christensen, Erling Nissen, Erik Arvin, Hans-Jørgen Albrechtsen, Influence of Asellus aquaticus on Escherichia coli, Klebsiella pneumoniae, Campylobacter jejuni and naturally occurring heterotrophic bacteria in drinking water, Water Research, Volume 46, Issue 16, 15 October 2012, Pages 5279-5286, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.07.011.",Consumer,Selected,Christensen et al. 2012,Sarah C.B. Christensen and Erling Nissen and Erik Arvin and Hans-Jørgen Albrechtsen,2012,"Influence of Asellus aquaticus on Escherichia coli, Klebsiella pneumoniae, Campylobacter jejuni and naturally occurring heterotrophic bacteria in drinking water",Water Research,46,16,5279-5286
"M. Clement, R. Seux, S. Rabarot, A practical model for estimating total lead intake from drinking water, Water Research, Volume 34, Issue 5, April 2000, Pages 1533-1542, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(99)00277-8.",Consumer,Selected,Clement et al. 2000,M. Clement and R. Seux and S. Rabarot,2000,A practical model for estimating total lead intake from drinking water,Water Research,34,5,1533-1542
Water Supply 3:1-2 (2003) 119-125 - S.T. Coelho et al. - Controlling water quality in intermittent supply systems,Consumer,Selected,Coelho et al. 2003,S.T. Coelho,2003,Controlling water quality in intermittent supply systems,Water Research,3,1-2,119-125
Water Science & Technology: Water Supply 12:1 (2012) 90-100 - Graham Cole et al. - Time of use tariffs: implications for water efficiency,Customer,Selected,Cole et al. 2012,Graham Cole,2012,Time of use tariffs: implications for water efficiency,Water Science & Technology: Water Supply,12,1,90-100
Water Supply 4:4 (2004) 221-226 - D. Cook and G. Newcombe - Can we predict the removal of MIB and geosmin with PAC by using water quality parameters?,Consumer,Selected,Cook and Newcombe 2004,D. Cook and G. Newcombe,2004,Can we predict the removal of MIB and geosmin with PAC by using water quality parameters?,Water Supply,4,4,221-226
"David Cook, Gayle Newcombe, Pascale Sztajnbok, The application of powdered activated carbon for mib and geosmin removal: predicting pac doses in four raw waters, Water Research, Volume 35, Issue 5, April 2001, Pages 1325-1333, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(00)00363-8.",Consumer,Selected,Cook et al. 2001,David Cook and Gayle Newcombe and Pascale Sztajnbok,2001,The application of powdered activated carbon for mib and geosmin removal: predicting pac doses in four raw waters,Water Research,35,5,1325-1333
Water Supply 18:1 (2000) 509-513 - Russell Cooper - Creative use of information technology,Customer,Selected,Cooper 2000,Russell Cooper,2000,Creative use of information technology,Water Supply,18,1,509-513
Water Science & Technology: Water Supply-WSTWS 9:1 (2009) 67-74 - Elise Corbi et al. - Understanding and forecasting taste-and-odour formation in a drinking water distribution system: case study of Lyon (France),Consumer,Selected,Corbi et al. 2009,Elise Corbi,2009,Understanding and forecasting taste-and-odour formation in a drinking water distribution system: case study of Lyon (France),Water Science & Technology: Water Supply-WSTWS,9,1,67-74
Journal of Water and Health 12:3 (2014) 484-491 - Andrea Crampton and Angela T. Ragusa - Perceived agricultural runoff impact on drinking water,Consumer,Selected,Crampton and Ragusa 2014,Andrea Crampton and Angela T. Ragusa,2014,Perceived agricultural runoff impact on drinking water,Journal of Water and Health,12,3,484-491
Water Practice & Technology 5:4 (2010) - G Croke and James William - Customer Consultation in Water Project Planning and Delivery: Lessons from Case Studies,Customer,Selected,Croke & Williams 2010,G. Croke and James William,2010,Customer Consultation in Water Project Planning and Delivery: Lessons from Case Studies,Water Practice & Technology,4,3,
Water Science & Technology 51:8 (2005) 51-57 - P. Cross and A. Morel - Pro-poor strategies for urban water supply and sanitation services delivery in Africa,Consumer,Selected,Cross and Morel 2005,P. Cross and A. Morel,2005,Pro-poor strategies for urban water supply and sanitation services delivery in Africa,Water Science & Technology,51,8,51-57
Water Science & Technology 15:6-7 (1983) 13-24 - E. de Greef et al. - Drinking Water Contamination and Taste Assessment by Large Consumer Panels,Consumer,Selected,de Greef et al. 1983,E. de Greef,1983,Drinking Water Contamination and Taste Assessment by Large Consumer Panels,Water Science & Technology,15,6-7,13-24
Water Science & Technology: Water Supply 7:4 (2007) 57-63 - S.L. Dias et al. - Identification of opportunities to improve efficiency by water consumption assessment,Consumer,Selected,Dias et al. 2007,S.L. Dias,2007,Identification of opportunities to improve efficiency by water consumption assessment,Water Science & Technology: Water Supply,7,4,57-63
Water Science & Technology: Water Supply 7:4 (2007) 57-63 - S.L. Dias et al. - Identification of opportunities to improve efficiency by water consumption assessment,Customer,Selected,Dias et al. 2007,S.L. Dias,2007,Identification of opportunities to improve efficiency by water consumption assessment,Water Science & Technology: Water Supply,7,4,57-63
Water Science & Technology 49:9 (2004) 61-67 - A.M. Dietrich et al. - The attribute rating test for sensory analysis,Customer,Selected,Dietrich et al. 2004,A.M. Dietrich,2004,The attribute rating test for sensory analysis,Water Science & Technology,49,4,61-67
"Andrea M. Dietrich, Katherine Phetxumphou, Daniel L. Gallagher, Systematic tracking, visualizing, and interpreting of consumer feedback for drinking water quality, Water Research, Volume 66, 1 December 2014, Pages 63-74, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.08.007.",Consumer,Selected,Dietrich et al. 2014,Andrea M. Dietrich and Katherine Phetxumphou and Daniel L. Gallagher,2014,"Systematic tracking, visualizing, and interpreting of consumer feedback for drinking water quality",Water Research,66,1,63-74
"Water Science & Technology 27:7-8 (1993) 127-133 - H. Dizer et al. - Viruses and Water: Problems, Detection, and Control",Consumer,Selected,Dizer et al. 1993,H. Dizer,1993,"Viruses and Water: Problems, Detection, and Control",Water Science & Technology,27,7-8,127-133
"Water Science & Technology-WST 60:6 (2009) 1433-1444 - S. Dolnicar and A. Hurlimann - Drinking water from alternative water sources: differences in beliefs, social norms and factors of perceived behavioural control across eight Australian locations",Marketing,Selected,Dolnicar and Hurlimann 2009,S. Dolnicar and A. Hurlimann,2009,"Drinking water from alternative water sources: differences in beliefs, social norms and factors of perceived behavioural control across eight Australian locations",Water Science & Technology-WST ,60,6,1433-1444
"Sara Dolnicar, Anna Hurlimann, Bettina Grün, Branding water, Water Research, Volume 57, 15 June 2014, Pages 325-338, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.03.056.",Consumer,Selected,Dolnicar et al. 2014,Sara Dolnicar and Anna Hurlimann and Bettina Grün,2014,Branding water,Water Research,57,15,325-338
"Sara Dolnicar, Anna Hurlimann, Bettina Grün, Branding water, Water Research, Volume 57, 15 June 2014, Pages 325-338, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.03.056.",Marketing,Selected,Dolnicar et al. 2014,Sara Dolnicar and Anna Hurlimann and Bettina Grün,2014,Branding water,Water Research,57,15,325-338
J Water Health - (2006) - Miguel F. Doria - Bottled water versus tap water: understanding consumers-preferences,Consumer,Selected,Doria 2006,Miguel de Franca Doria,2006,Bottled water versus tap water: understanding consumers-preferences,Journal of Water and Health,,,
Water Policy 12:1 (2010) 1-19 - Miguel de Franca Doria - Factors influencing public perception of drinking water quality,Consumer,Selected,Doria 2010,Miguel de Franca Doria,2010,Factors influencing public perception of drinking water quality,Water Policy,12,1,1-19
Journal of Water and Health 10:1 (2012) 56-68 - Diane P. Dupont and Nowshin Jahan - Defensive spending on tap water substitutes: the value of reducing perceived health risks,Consumer,Selected,Dupont and Jahan 2012,Diane P. Dupont and Nowshin Jahan,2012,Defensive spending on tap water substitutes: the value of reducing perceived health risks,Journal of Water and Health,10,1,56-68
Water Science & Technology 49:2 (2004) 1-8 - M. Edwards - Controlling corrosion in drinking water distribution systems: a grand challenge for the 21st century,Consumer,Selected,Edwards 2004,M. Edwards,2004,Controlling corrosion in drinking water distribution systems: a grand challenge for the 21st century,Water Science & Technology,49,2,1-8
Water Science & Technology: Water Supply 1:3 (2001) 25-32 - M. Edwards et al. - The role of pipe ageing in copper corrosion by-product release,Consumer,Selected,Edwards et al. 2011,M. Edwards,2011,The role of pipe ageing in copper corrosion by-product release,Water Science & Technology: Water Supply,1,3,25-32
Water Supply 3:1-2 (2003) 87-93 - M. Engelhardt et al. - Whole life costing: application to water distribution network,Customer,Selected,Engelhardt et al. 2003,M. Engelhardt,2003,Whole life costing: application to water distribution network,Water Supply,3,1-2,87-93
"Journal of Water and Health 12:1 (2014) 94-104 - A. C. Espinosa-Garcia et al. - Removal of bacteria, protozoa and viruses through a multiple-barrier household water disinfection system",Consumer,Selected,Espinosa-García et al. 2014,A.C. Espinosa-García,2014,"Removal of bacteria, protozoa and viruses through a multiple-barrier household water disinfection system",Journal of Water and Health,12,1,94-104
Water Supply 3:3 (2003) 263-269 - A. Euzen - How do consumers perceive water quality? Example of an anthropological study carried out in Paris,Consumer,Selected,Euzen 2003,A. Euzen,2003,How do consumers perceive water quality? Example of an anthropological study carried out in Paris,Water Supply,3,3,263-269
Water Policy 13:4 (2011) 490-505 - Parviz Fattahi et al. - An evaluation model for measuring customer satisfaction levels in a water supply domain: case study - water supply in Hamedan,Customer,Selected,Fattahi et al. 2011,Parviz Fattahi,2011,An evaluation model for measuring customer satisfaction levels in a water supply domain: case study - water supply in Hamedan,Water Policy,13,4,490-505
Water Science & Technology: Water Supply-WSTWS 8:1 (2008) 43-48 - Chris Fife-Schaw et al. - Consumer trust and confidence: some recent ideas in the literature,Consumer,Selected,Fife-Schaw et al 2008,Chris Fife-Schaw,2008,Consumer trust and confidence: some recent ideas in the literature,Water Science & Technology: Water Supply-WSTWS,8,1,43-48
"Water Science & Technology: Water Supply 6:5 (2006) 9-15 - R. Franceys - Customer committees, economic regulation and the Water Framework Directive",Consumer,Selected,Franceys 2006,R. Franceys,2006,"Customer committees, economic regulation and the Water Framework Directive",Water Science & Technology: Water Supply ,6,5,9-15
"Water Science & Technology: Water Supply 6:5 (2006) 9-15 - R. Franceys - Customer committees, economic regulation and the Water Framework Directive",Customer,Selected,Franceys 2006,R. Franceys,2006,"Customer committees, economic regulation and the Water Framework Directive",Water Science & Technology: Water Supply ,6,5,9-15
Journal of Water Supply: Research and Technology-AQUA 60:6 (2011) 321-342 - Alex Francisque et al. - Reconciling 'actual' risk with 'perceived' risk for distributed water quality: a QFD-based approach,Customer,Selected,Francisque et al. 2011,Alex Francisque,2011,Reconciling 'actual' risk with 'perceived' risk for distributed water quality: a QFD-based approach,"Journal of Water Supply, Research and Technology---Aqua",60,6,321-342
Water Practice & Technology 3:3 (2008) - M. Huelin Franquelo and Guillermo Cao Mois?s - A social participation. Consumers and the water supply company.,Consumer,Selected,Franquelo and Moises 2008,M. Huelin Franquelo and Guillermo Cao Moises,2008,A social participation. Consumers and the water supply company.,Water Practice & Technology,3,3,
Journal of Water and Health 07:3 (2009) 527-534 - Matthew C. Freeman et al. - Increasing equity of access to point-of-use water treatment products through social marketing and entrepreneurship: a case study in western Kenya,Marketing,Selected,Freeman et al. 2009,Mathew Freeman,2009,Increasing equity of access to point-of-use water treatment products through social marketing and entrepreneurship: a case study in western Kenya,Journal of Water and Health,7,3,527-534
"Ingrid Freuze, Stéphan Brosillon, Alain Laplanche, Dominique Tozza, Jacques Cavard, Effect of chlorination on the formation of odorous disinfection by-products, Water Research, Volume 39, Issue 12, July 2005, Pages 2636-2642, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2005.04.026.",Consumer,Selected,Freuze et al. 2005,Ingrid Freuze and Stéphan Brosillon and Alain Laplanche and Dominique Tozza and Jacques Cavard,2005,Effect of chlorination on the formation of odorous disinfection by-products,Water Research,39,12,2636-2642
Water Science & Technology 68:7 (2013) 1487-1494 - G. Gage et al. - The 21st Century Water Utility Initiative: how to boost operational performance of water utilities by up to 20%,Customer,Selected,Gage et al. 2013,G. Gage,2013,The 21st Century Water Utility Initiative: how to boost operational performance of water utilities by up to 20%,Water Science & Technology,68,7,1487-1494
Journal of Water Supply: Research and Technology-AQUA 63:5 (2014) 358-367 - Daniel L. Gallagher and Andrea M. Dietrich - Statistical approaches for analyzing customer complaint data to assess aesthetic episodes in drinking water,Customer,Selected,Gallagher and Dietrich 2014,Daniel L. Gallagher and Andrea M. Dietrich,2014,Statistical approaches for analyzing customer complaint data to assess aesthetic episodes in drinking water,"Journal of Water Supply, Research and Technology---Aqua",63,5,358-367
"Water Policy 13:1 (2011) 125-142 - Kinfe Gebreegziabher and Tewodros Tadesse - Household demand for improved water supply services in Mekelle City, Northern Ethiopia",Consumer,Selected,Gebreegziabher and Tadesse 2011,Kinfe Gebreegziabher and Tewodros Tadesse,2011,"Household demand for improved water supply services in Mekelle City, Northern Ethiopia",Water Policy,13,1,125-142
Journal of Water and Health 6:S1 (2008) s21-s26 - John Gray - Water contamination events in UK drinking-water supply systems,Consumer,Selected,Gray 2008,John Gray,2008,Water contamination events in UK drinking-water supply systems,Journal of Water and Health,6,S1,s21-s26
Water Science & Technology: Water Supply-WSTWS 8:1 (2008) 69-74 - Martijn Groenendijk et al. - Central water softening: customer comfort is relevant in new WHO view,Customer,Selected,Groenendijk et al. 2008,Martijn Groenendijk,2008,Central water softening: customer comfort is relevant in new WHO view,Water Science & Technology: Water Supply-WSTWS,8,1,69-74
"Water Supply 2:5-6 (2002) 185-191 - T. Hanamoto et al. - Integration of water treatment, environmental and information technologies: Amagasaki project",Customer,Selected,Hamoto et al. 2002,T. Hamoto,2002,"Integration of water treatment, environmental and information technologies: Amagasaki project",Water Supply,2,5-6,185-191
Water Science & Technology: Water Supply 12:5 (2012) 637-647 - M. A. Hamouda et al. - Employing multi-criteria decision analysis to select sustainable point-of-use and point-of-entry water treatment systems,Consumer,Selected,Hamouda et al. 2012,M.A. Hamouda,2012,Employing multi-criteria decision analysis to select sustainable point-of-use and point-of-entry water treatment systems,Water Science & Technology: Water Supply,12,5,637-647
J Water SRT - Aqua 47 (1998) 284-288 - B. Helland and J. Adamsson - Performance indicators: benchmarking between six cities in Scandinavia,Customer,Selected,Helland and Adamsson 1998,B. Helland and J. Adamsson,1998,Performance indicators: benchmarking between six cities in Scandinavia,"Journal of Water Supply, Research and Technology---Aqua",47,,284-288
Water Science & Technology 43:10 (2001) 287-294 - S. Hills et al. - Water recycling at the Millennium Dome,Customer,Selected,Hills et al. 2001,S. Hills,2001,Water recycling at the Millennium Dome,Water Science & Technology,43,10,287-294
Water Science & Technology 46:6-7 (2002) 233-240 - S. Hills et al. - The Millennium Dome Watercycle experiment: to evaluate water efficiency and customer perception at a recycling scheme for 6 million visitors,Customer,Selected,Hills et al. 2002,S. Hills,2002,The Millennium Dome Watercycle experiment: to evaluate water efficiency and customer perception at a recycling scheme for 6 million visitors,Water Science & Technology,46,6-7,233-240
